1;ENGLISH;en;
2;FRENCH;fr;
3;GERMAN;de;
4;POLISH;pl;
5;SPANISH;es;
6;ITALIAN;it;
7;SWEDISH;sv;
8;CZECH;cs;
9;HUNGARIAN;hu;
10;DUTCH;nl;
12;RUSSIAN;ru;
13;FINNISH;fi;
